ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
TUR,Central,2112824,Age specific fertility rate: 45-49,0,0,TR,Turkey,1993,TR1993DHS,FE_FRTR_W_A45,11763070,I,450003,1450003,Region,Central,0,,0,1,FEFRTRWA45,TRDHS1993450003,1993,DHS,,,,,1
TUR,North,2112849,Age specific fertility rate: 45-49,0,0,TR,Turkey,1993,TR1993DHS,FE_FRTR_W_A45,11763070,I,450004,1450004,Region,North,0,,0,1,FEFRTRWA45,TRDHS1993450004,1993,DHS,,,,,1
TUR,West,2112822,Total fertility rate 15-49,1.9,1,TR,Turkey,1993,TR1993DHS,FE_FRTR_W_TFR,11763080,I,450001,1450001,Region,West,0,,0,1,FEFRTRWTFR,TRDHS1993450001,1993,DHS,,,,,1
TUR,South,2112804,Total fertility rate 15-49,2.3,1,TR,Turkey,1993,TR1993DHS,FE_FRTR_W_TFR,11763080,I,450002,1450002,Region,South,0,,0,1,FEFRTRWTFR,TRDHS1993450002,1993,DHS,,,,,1
TUR,Central,2112829,Total fertility rate 15-49,2.4,1,TR,Turkey,1993,TR1993DHS,FE_FRTR_W_TFR,11763080,I,450003,1450003,Region,Central,0,,0,1,FEFRTRWTFR,TRDHS1993450003,1993,DHS,,,,,1
TUR,North,2112845,Total fertility rate 15-49,2.8,1,TR,Turkey,1993,TR1993DHS,FE_FRTR_W_TFR,11763080,I,450004,1450004,Region,North,0,,0,1,FEFRTRWTFR,TRDHS1993450004,1993,DHS,,,,,1
TUR,East,2105206,Total fertility rate 15-49,4.1,1,TR,Turkey,1993,TR1993DHS,FE_FRTR_W_TFR,11763080,I,450005,1450005,Region,East,0,,0,1,FEFRTRWTFR,TRDHS1993450005,1993,DHS,,,,,1
TUR,West,2112820,Total fertility rate 15-44,1.9,1,TR,Turkey,1993,TR1993DHS,FE_FRTR_W_TF4,11763090,I,450001,1450001,Region,West,0,,0,1,FEFRTRWTF4,TRDHS1993450001,1993,DHS,,,,,1
TUR,South,2112809,Total fertility rate 15-44,2.3,1,TR,Turkey,1993,TR1993DHS,FE_FRTR_W_TF4,11763090,I,450002,1450002,Region,South,0,,0,1,FEFRTRWTF4,TRDHS1993450002,1993,DHS,,,,,1
TUR,Central,2112825,Total fertility rate 15-44,2.4,1,TR,Turkey,1993,TR1993DHS,FE_FRTR_W_TF4,11763090,I,450003,1450003,Region,Central,0,,0,1,FEFRTRWTF4,TRDHS1993450003,1993,DHS,,,,,1
TUR,North,2112855,Total fertility rate 15-44,2.8,1,TR,Turkey,1993,TR1993DHS,FE_FRTR_W_TF4,11763090,I,450004,1450004,Region,North,0,,0,1,FEFRTRWTF4,TRDHS1993450004,1993,DHS,,,,,1
TUR,East,2105204,Total fertility rate 15-44,4,1,TR,Turkey,1993,TR1993DHS,FE_FRTR_W_TF4,11763090,I,450005,1450005,Region,East,0,,0,1,FEFRTRWTF4,TRDHS1993450005,1993,DHS,,,,,1
TUR,West,2112823,General fertility rate,71,0,TR,Turkey,1993,TR1993DHS,FE_FRTR_W_GFR,11763100,I,450001,1450001,Region,West,0,,0,1,FEFRTRWGFR,TRDHS1993450001,1993,DHS,,,,,1
TUR,South,2112810,General fertility rate,84,0,TR,Turkey,1993,TR1993DHS,FE_FRTR_W_GFR,11763100,I,450002,1450002,Region,South,0,,0,1,FEFRTRWGFR,TRDHS1993450002,1993,DHS,,,,,1
TUR,Central,2112835,General fertility rate,86,0,TR,Turkey,1993,TR1993DHS,FE_FRTR_W_GFR,11763100,I,450003,1450003,Region,Central,0,,0,1,FEFRTRWGFR,TRDHS1993450003,1993,DHS,,,,,1
TUR,North,2112847,General fertility rate,101,0,TR,Turkey,1993,TR1993DHS,FE_FRTR_W_GFR,11763100,I,450004,1450004,Region,North,0,,0,1,FEFRTRWGFR,TRDHS1993450004,1993,DHS,,,,,1
TUR,East,2105221,General fertility rate,131,0,TR,Turkey,1993,TR1993DHS,FE_FRTR_W_GFR,11763100,I,450005,1450005,Region,East,0,,0,1,FEFRTRWGFR,TRDHS1993450005,1993,DHS,,,,,1
TUR,West,2112846,Crude birth rate,17.2,1,TR,Turkey,1993,TR1993DHS,FE_FRTR_W_CBR,11763110,I,450001,1450001,Region,West,0,,0,1,FEFRTRWCBR,TRDHS1993450001,1993,DHS,,,,,1
TUR,South,2112811,Crude birth rate,21,1,TR,Turkey,1993,TR1993DHS,FE_FRTR_W_CBR,11763110,I,450002,1450002,Region,South,0,,0,1,FEFRTRWCBR,TRDHS1993450002,1993,DHS,,,,,1
TUR,Central,2112836,Crude birth rate,21.5,1,TR,Turkey,1993,TR1993DHS,FE_FRTR_W_CBR,11763110,I,450003,1450003,Region,Central,0,,0,1,FEFRTRWCBR,TRDHS1993450003,1993,DHS,,,,,1
TUR,North,2112848,Crude birth rate,25,1,TR,Turkey,1993,TR1993DHS,FE_FRTR_W_CBR,11763110,I,450004,1450004,Region,North,0,,0,1,FEFRTRWCBR,TRDHS1993450004,1993,DHS,,,,,1
TUR,East,2105222,Crude birth rate,28.3,1,TR,Turkey,1993,TR1993DHS,FE_FRTR_W_CBR,11763110,I,450005,1450005,Region,East,0,,0,1,FEFRTRWCBR,TRDHS1993450005,1993,DHS,,,,,1
TUR,West,411866,Total wanted fertility rate,1.6,1,TR,Turkey,1993,TR1993DHS,PR_WTFR_W_WFR,22333010,I,450001,1450001,Region,West,0,,0,1,PRWTFRWWFR,TRDHS1993450001,1993,DHS,,,,,1
